,spacegroup,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev
1462,206,0.1875,0.25,0.5625,9.8238,9.8237,9.8238,90.0019,90.00200000000001,89.9976,0.1833,1.3345
19,12,0.25,0.25,0.5,12.2649,3.1889,6.3388,90.0,105.0943,90.0001,0.2063,1.5596
970,206,0.625,0.375,0.0,9.1418,9.1413,9.1413,90.0039,90.0043,89.9967,0.1051,3.6341
214,194,0.6875,0.3125,0.0,6.165,6.1648,23.5817,90.0177,89.9981,120.0032,0.2311,3.1668
2217,33,0.9062,0.0312,0.0625,9.8901,8.4916,9.1232,90.0055,90.0023,90.0012,0.1067,4.0881
563,12,0.375,0.2812,0.3438,24.4411,6.2548,6.1527,89.9998,104.7393,90.0001,0.1052,1.9601
260,12,0.3125,0.4375,0.25,24.5308,6.2201,6.0692,89.9998,104.4695,90.0001,0.0826,2.0494
687,12,0.375,0.25,0.375,24.4329,6.2723,6.1848,89.9998,104.8203,90.0001,0.1356,1.9072
128,194,0.625,0.0,0.375,6.4621,6.4617,24.1108,90.0146,90.0147,119.9959,0.2444,1.9135
1704,33,0.75,0.25,0.0,4.9469,8.5014,9.1298,90.0038,90.0023,90.0015,0.0504,3.7245
1119,227,0.125,0.5625,0.3125,6.0892,6.0889,14.904000000000002,89.9892,90.009,119.9959,0.3266,0.5576
1663,206,0.9688,0.0312,0.0,8.9978,8.997,8.9973,90.0025,90.0037,89.9992,0.08,4.9837
1927,194,0.3125,0.0,0.6875,6.7903,6.7897,24.7481,90.0191,90.0038,119.9891,0.4404,0.6784
1772,33,0.25,0.0,0.75,5.4797,9.3301,9.9569,90.0017,89.9979,90.0004,0.2506,1.1885
1522,33,0.3125,0.5312,0.1562,10.2717,8.807,9.4293,90.0002,90.0014,90.0012,0.1389,2.2651
2380,206,0.4062,0.3438,0.25,9.4551,9.4548,9.4548,90.00299999999999,90.0032,89.9969,0.205,2.2916
533,227,0.625,0.0625,0.3125,5.9596,5.9597,14.6459,89.9997,89.9969,120.0005,0.3739,1.734
1810,194,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,90.0089,90.00299999999999,120.0051,0.2033,3.7411
1782,167,0.5,0.5,0.0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,0.0655,3.7204
2032,194,0.5312,0.3125,0.1562,6.3285,6.3283,23.9,90.0156,90.0045,119.9985,0.2633,1.8108
832,194,0.375,0.375,0.25,6.4468,6.4466,24.138,90.0128,90.0049,119.9952,0.3203,1.5893
2149,12,0.0,0.4375,0.5625,24.7732,6.4839,6.4539,90.0003,105.1649,90.0,0.0245,1.2833
1891,167,0.75,0.0833,0.1667,4.9604,4.9602,13.4383,89.9886,90.0123,120.0016,0.1483,3.5688
1735,12,0.6562,0.3438,0.0,24.2396,5.9824,5.7428,89.9993,103.8918,90.0002,0.0366,3.1679
1604,33,0.0625,0.0625,0.875,11.1858,9.5098,10.1346,90.0002,89.9965,90.0002,0.2299,0.7962
978,33,0.0938,0.75,0.1562,10.3739,8.8942,9.5128,89.99799999999999,90.0011,90.0012,0.1717,1.695
1527,194,0.125,0.625,0.25,6.5277,6.5276,24.3262,90.0028,90.0034,119.9923,0.379,1.0618
1539,167,0.4167,0.0,0.5833,5.2589999999999995,5.2586,14.0718,89.9939,90.0057,120.0015,0.3209,1.8328
1933,227,0.8125,0.0,0.1875,5.8609,5.8604,13.9104,90.012,90.00200000000001,120.0027,0.3556,2.3236
1169,227,0.6875,0.0,0.3125,5.9807,5.9793,14.5967,90.0786,88.085,120.0477,0.3313,1.7817
293,33,0.9688,0.0312,0.0,9.7916,8.4142,9.0463,90.0058,90.0024,90.0013,0.0443,4.6795
504,12,0.0,0.8438,0.1562,24.8804,6.2565,6.037000000000001,90.0002,104.1052,90.0001,0.0209,1.7267
2332,227,0.0625,0.3125,0.625,10.7756,6.2196,14.8766,84.3355,83.4255,30.9387,0.3763,0.4969
2242,194,0.7188,0.0,0.2812,6.3644,6.364,23.9198,90.0126,90.0144,119.9983,0.297,1.7342
2375,206,0.0,0.5625,0.4375,9.7916,9.7916,9.7914,90.0034,90.00299999999999,89.9955,0.1315,1.3326
1389,167,0.0833,0.25,0.6667,5.3847,5.3842,14.3315,89.9982,90.0005,120.0009,0.1956,1.2865
926,206,0.3438,0.4375,0.2188,9.4536,9.4533,9.4532,90.0035,90.0035,89.9963,0.1988,2.247
942,12,0.8125,0.1875,0.0,24.0773,5.938,5.7108,89.9992,103.9485,90.0002,0.0163,3.4871
967,12,0.1875,0.5,0.3125,24.6443,6.2906,6.1589,90.0,104.5929,90.0001,0.16,1.6695
1969,33,0.875,0.125,0.0,4.9177,8.4516,9.0821,90.0049,90.0024,90.0014,0.0393,4.2051
327,12,0.25,0.5,0.25,24.5958,6.2379,6.082000000000001,89.9999,104.4479,90.0001,0.1214,1.714
1931,206,0.5312,0.25,0.2188,9.375,9.3746,9.3747,90.0027,90.0032,89.9976,0.2199,2.6423
871,227,0.8125,0.0,0.1875,10.0053,5.7928,14.2566,90.7304,90.8457,30.2783,0.3721,1.5688
2384,167,0.3333,0.6667,0.0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,0.0683,3.3244
430,33,0.9062,0.0625,0.0312,9.8554,8.4654,9.0967,90.0054,90.0023,90.0013,0.0693,4.2315
1877,206,0.5,0.0,0.5,9.6375,9.6371,9.6374,90.001,90.0018,89.9993,0.2592,1.9579
62,227,0.125,0.3125,0.5625,6.2764,6.2748,14.9602,90.0085,89.999,119.9993,0.4402,0.36700000000000005
2201,227,0.6875,0.1875,0.125,5.8505,5.85,14.0496,90.0045,89.99600000000001,119.9991,0.3244,1.7881
744,194,0.3125,0.2812,0.4062,6.5822,6.5819,24.3861,90.012,90.0049,119.9923,0.263,1.2802
1947,194,0.3438,0.25,0.4062,6.5723,6.5719,24.3625,90.0129,90.0057,119.9927,0.3905,1.095
1126,227,0.625,0.0625,0.3125,5.9814,5.9811,14.5814,90.0278,89.988,120.0008,0.4874,1.3422
1635,227,0.375,0.625,0.0,9.9165,5.7612,14.2456,91.2372,91.4362,30.6131,0.1461,2.3498
969,227,0.8125,0.1875,0.0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,0.1965,2.7282
2045,206,0.8125,0.0,0.1875,9.2295,9.2288,9.2292,90.0018,90.0029,89.9993,0.2221,3.2995
1701,12,0.375,0.625,0.0,12.2659,3.0312,5.8004,89.9997,103.7911,90.0002,0.0441,2.6979
1685,12,0.2188,0.0938,0.6875,24.5128,6.4916,6.5381,90.0001,105.5367,90.0001,0.2921,1.0218
1968,227,0.5625,0.375,0.0625,9.8456,5.7176,14.1245,91.1234,91.3033,30.573,0.2547,2.1936
